character;weights;specific_weights;center_of_mass;norm_center_of_mass;moments;norm_moments
щ;99,98,78,92;0.37218045112781956,0.3684210526315789,0.2736842105263158,0.32280701754385965;19.149863760217983,12.049046321525886;0.5039437831636311,0.4154843559146857;44772.75749318801,22965.11716621253;0.08448519004352882,0.0744057682926208
ъ;69,10,57,72;0.4825174825174825,0.06993006993006994,0.36538461538461536,0.46153846153846156;12.629807692307692,12.033653846153847;0.4857618343195266,0.5232023411371237;7838.4951923076915,10596.764423076922;0.055747149467368085,0.09630620567722956
ы;63,55,84,102;0.35795454545454547,0.29411764705882354,0.4375,0.5;15.80921052631579,12.12828947368421;0.47906698564593303,0.5273169336384439;26812.93421052632,15441.996710526319;0.0809921409384706,0.09602276334771614
ь;57,6,63,65;0.47107438016528924,0.049586776859504134,0.4772727272727273,0.49242424242424243;9.471204188481675,12.842931937172775;0.43050928129462157,0.5583883450944684;5749.59162303665,8715.287958115183;0.06219540070785178,0.08625667275126617
э;27,57,16,54;0.24545454545454545,0.47107438016528924,0.13333333333333333,0.4090909090909091;12.448051948051948,10.077922077922079;0.5927643784786641,0.4381705251270469;4208.084415584415,7529.0649350649355;0.06196195799959383,0.0924197203135656
ю;85,72,93,80;0.4292929292929293,0.3444976076555024,0.4305555555555556,0.3508771929824561;17.496969696969696,11.021212121212121;0.47289107289107285,0.47918313570487486;38170.49696969697,15048.851515151517;0.08449099535094622,0.08620525585811718
я;53,58,51,68;0.4015151515151515,0.4393939393939394,0.3541666666666667,0.4722222222222222;12.647826086956522,10.92608695652174;0.5269927536231884,0.4750472589792061;6478.473913043478,11595.743478260869;0.048901524102079395,0.09530486955092356
ғ;57,31,61,6;0.5181818181818182,0.256198347107438,0.5083333333333333,0.045454545454545456;8.038709677419355,9.380645161290323;0.3827956989247312,0.40785413744740534;2921.7677419354836,8298.541935483872;0.042744023728117676,0.10120790213407979
қ;80,55,47,60;0.47619047619047616,0.3273809523809524,0.2611111111111111,0.3333333333333333;11.214876033057852,11.698347107438016;0.4672865013774105,0.40339127956682813;9408.826446280993,14316.979338842973;0.0674990418839029,0.07034610184079841
ң;76,76,46,63;0.4175824175824176,0.4175824175824176,0.2358974358974359,0.3230769230769231;13.160919540229886,11.831417624521073;0.5061892130857648,0.40797991808693357;14163.241379310344,15612.582375478927;0.08027410153999379,0.07112761388548994
ү;86,46,46,42;0.3891402714932127,0.2081447963800905,0.2081447963800905,0.19004524886877827;11.8,14.35909090909091;0.4538461538461539,0.4223262032085562;5425.2,25252.63181818182;0.0364792899408284,0.09929471460436387
ұ;86,46,68,64;0.3891402714932127,0.2081447963800905,0.3076923076923077,0.2895927601809955;11.916666666666666,15.549242424242424;0.4583333333333333,0.4573306595365419;8358.166666666666,27133.359848484848;0.046833908612754764,0.08890819914702228
һ;81,30,85,83;0.34615384615384615,0.1282051282051282,0.36324786324786323,0.3547008547008547;11.050179211469533,20.810035842293907;0.4250068927488282,0.5780565511748308;12631.297491039426,27496.931899641582;0.06697258536955433,0.07604576502179737
ә;29,61,56,55;0.2636363636363636,0.5041322314049587,0.4666666666666667,0.4166666666666667;10.900497512437811,10.81592039800995;0.5190713101160862,0.4702574086091283;6470.009950248757,9240.189054726368;0.07299116605463338,0.0869018711238361
ө;52,60,67,57;0.3939393939393939,0.45454545454545453,0.4652777777777778,0.3958333333333333;11.48728813559322,11.008474576271187;0.4786370056497175,0.4786293294030951;10946.96186440678,9083.983050847455;0.08053026324451786,0.07276267222171234
